NUMERO AGENCIA,RAZON SOCIAL,ESTADO1,TELEFONO,EJECUTIVO,CIUDAD,MUNICIPIO,PROVINCIA,LONGITUD,LATITUD,CALLE,SECTOR,Com.Aplicada,Com.Faltante,Descuento_ISR
130082,MINI MARKET TAVERAS 2 (HONDURAS),A,0000000000,RD.ECollado.NCarrasco,LOS JARDINES DE NORTE,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
130341,LABORATORIO CLINICO LA ROSA DE ISRAEL,A,0000000000,RD.CMAlejo,"BUENAS NOCHES DE HATO NUEVO, (SANTO DOMINGO OESTE)",N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
130381,COLMADON VICENTA,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA,N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
130394,COL YUBI CABRERA,A,0000000000,RD.Almonte.CarlosRodriguez,MELLA II,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
130795,D'JONATHAN DISTRIBUCIONES,A,0000000000,RD.DPaulino,VILLA CARMEN,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
130901,BANCA FIGUEREO 11B,A,0000000000,RD.DRosarioR,LOS MAMEYES,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
130962,CAFETERIA MARANATA,A,0000000000,RD.DSantana.FAcosta,LA ROMANA,N/A,La Romana,,,N/A,N/A,8.11,5.89,10
131486,COL. FAMILIA,A,0000000000,RD.NMedina,AUT. LAS AMERICAS,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
131951,COL. FEDERIC 2,A,0000000000,RD.CPeña.WEspinal,PEQUIN,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
131968,COLMADO VALDEZ,A,0000000000,RD.ASalcedo.LSalcedo,GURABO,N/A,Santiago,,,N/A,N/A,8.11,5.89,10
132078,CAFETERIA BRENDA,A,0000000000,RD.DSantana.FAcosta,HIGUEY,N/A,La Romana,,,N/A,N/A,8.11,5.89,10
132158,NUEVA YORK CHIQUITO,A,0000000000,RD.MGarciaJavier,VILLA AGRICOLA,N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
132377,CASA VASQUEZ,A,0000000000,RD.MGarciaJavier.FHidalgo,YAMASA,N/A,Monte Plata,,,N/A,N/A,8.11,5.89,10
132506,SOLANO AUTO PARK,A,0000000000,RD.MGarciaJavier,VILLA AGRICOLA (SANTO DOMINGO),N/A,Distrito Nacional,,,N/A,N/A,8.11,5.89,10
132588,COL. EL CABALLO 2,A,0000000000,RD.DPaulino,STO. DGO. ESTE,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
132719,COLMADO TEJEDA,A,0000000000,RD.ECollado.JBeriguete,HERRERA,N/A,Santo Domingo,,,N/A,N/A,8.11,5.89,10
